dataset,holdout_family,split_variant,model_family,stage1_weight_mode,split,method,thr_high,selection_param_json,macro_f1,accuracy,benign_family_fp_rate,benign_reject_rate,overall_reject_rate,unknown_detection_rate,false_unknown_rate_all_known,false_unknown_rate_known_attacks,n_true_unknown,n_known_all,n_known_attacks,coverage,unknown_known_auroc,unknown_known_aupr,control_macro_f1,control_unknown_detection_rate,delta_macro_f1_vs_control,delta_unknown_detection_vs_control
CICIoT2023,DoS,day-file Protocol B baseline,rf,class_weight_balanced,test,entropy_reject,0.9166666666666666,"{""entropy_thr"": 0.3493984703346173}",0.7049886191024468,0.8136962076548893,0.0041455706955723,0.0163274321247748,0.0424141761811874,0.1044638265268637,0.0305944449165038,0.0314863614686129,190554,1000345,941487,0.9575858238188124,0.5385542063767044,0.258261288963637,0.7086360295203586,0.0927768506565068,-0.003647410417911834,0.0116869758703569
CICIoT2023,DoS,day-file Protocol B baseline,rf,class_weight_balanced,test,conformal_reject,0.9166666666666666,"{""alpha"": 0.15, ""family_thresholds"": {""Botnet"": 0.9999999999959996, ""BruteForce"": 0.036666666666629995, ""DDoS"": 0.9999999999959999, ""Other"": 0.7199999999992801, ""Scan/Recon"": 0.5933333333321467}}",0.790634281185512,0.8275437295690062,0.0090387033198545,0.0114342995004927,0.0739189469468023,0.2506953409532206,0.0402451154351748,0.0420462523646104,190554,1000345,941487,0.9260810530531975,0.6575106786107932,0.3141828195997594,0.7086360295203586,0.0927768506565068,0.0819982516651534,0.1579184902967138
CICIoT2023,Other,day-file Protocol B baseline,rf,class_weight_balanced,test,control_tau,0.83,"{""tau"": 0.9}",0.721026764763986,0.9198588629262432,0.0172109144041591,0.0039247001257263,0.0308506430856017,0.2476534369057733,0.0112222088933372,0.0116379347892366,98868,1092031,1033173,0.9691493569143984,0.4595780260722742,0.3408587573324028,0.721026764763986,0.2476534369057733,0.0,0.0
CICIoT2023,Other,day-file Protocol B baseline,rf,class_weight_balanced,test,margin_reject,0.83,"{""margin_thr"": 0.9233333333314868}",0.7105905627616181,0.9131328517363771,0.0101260661252506,0.0110095484046348,0.0525594529846779,0.3346987903062669,0.0270157165868001,0.0279275590825544,98868,1092031,1033173,0.947440547015322,0.4593503891461371,0.342784889118249,0.721026764763986,0.2476534369057733,-0.010436202002367834,0.08704535340049363
CICIoT2023,Other,day-file Protocol B baseline,rf,class_weight_balanced,test,entropy_reject,0.83,"{""entropy_thr"": 0.27318225579821465}",0.7296344559308735,0.9205978004851796,0.0185531278670698,0.0025824866628155,0.0274045070152884,0.2323299753206295,0.008851397075724,0.0092085255809046,98868,1092031,1033173,0.9725954929847116,0.4599280546382662,0.3384576387454946,0.721026764763986,0.2476534369057733,0.008607691166887532,-0.015323461585143805
CICIoT2023,Other,day-file Protocol B baseline,rf,class_weight_balanced,test,conformal_reject,0.83,"{""alpha"": 0.05, ""family_thresholds"": {""Botnet"": 0.9999999999959996, ""BruteForce"": 0.033333333333325, ""DDoS"": 0.9866666666637066, ""DoS"": 0.9633333333304434, ""Scan/Recon"": 0.8966666666648733}}",0.6845932340665212,0.8865881993351241,0.0174657650616738,0.0036698494682116,0.0476068919362599,0.1483796577254521,0.0384833397586698,0.0404666014307381,98868,1092031,1033173,0.95239310806374,0.6269390575672561,0.2158137206854291,0.721026764763986,0.2476534369057733,-0.0364335306974648,-0.09927377918032118
CICIoT2023,Scan/Recon,day-file Protocol B baseline,rf,class_weight_balanced,test,control_tau,0.8766666666666667,"{""tau"": 0.93999999999906}",0.7709959945739941,0.9425324901607944,0.0137619355057936,0.004995072887288,0.0383542181158939,0.4284895960131177,0.014053538137672,0.0145554748016403,69829,1121070,1062212,0.961645781884106,0.5971348015154001,0.4228885844698452,0.7709959945739941,0.4284895960131177,0.0,0.0
CICIoT2023,Scan/Recon,day-file Protocol B baseline,rf,class_weight_balanced,test,margin_reject,0.8766666666666667,"{""margin_thr"": 0.9666666666637664}",0.7266026336984864,0.916840135057633,0.0075945495939379,0.0111624587991437,0.0736997847844359,0.5071388678056394,0.0467018116620728,0.0486710750772915,69829,1121070,1062212,0.926300215215564,0.596702845191656,0.4118174488490432,0.7709959945739941,0.4284895960131177,-0.044393360875507715,0.07864927179252174
CICIoT2023,Scan/Recon,day-file Protocol B baseline,rf,class_weight_balanced,test,entropy_reject,0.8766666666666667,"{""entropy_thr"": 0.1547753372189307}",0.775524697907441,0.9429464631341532,0.0136599952427877,0.0050970131502939,0.0386061286473496,0.4342178750948746,0.0139643376417172,0.0144556830463222,69829,1121070,1062212,0.9613938713526504,0.5860573681848774,0.4363171309556455,0.7709959945739941,0.4284895960131177,0.004528703333446904,0.005728279081756882
CICIoT2023,Scan/Recon,day-file Protocol B baseline,rf,class_weight_balanced,test,conformal_reject,0.8766666666666667,"{""alpha"": 0.05, ""family_thresholds"": {""Botnet"": 0.9999999999959996, ""BruteForce"": 0.026666666666659948, ""DDoS"": 0.9866666666637066, ""DoS"": 0.9666666666637668, ""Other"": 0.9366666666638566}}",0.813129086234114,0.921885063300918,0.0142036766454857,0.0045533317475959,0.0581669814148806,0.4217731887897578,0.0355187454842248,0.0372345633451702,69829,1121070,1062212,0.9418330185851194,0.7671877969864256,0.3903925190296206,0.7709959945739941,0.4284895960131177,0.042133091660119804,-0.0067164072233599215
