lane,comparison_key,dataset,metric,n,mean,sd,min,max,ci95_low,ci95_high
protocol_a_two_stage,CICIDS2017::rf::strict_tau,CICIDS2017,benign_family_fp_rate,5,0.0027521892414419996,0.0012344291425963108,0.0014068429853713,0.0046291031165363,0.0012194430167466169,0.004284935466137382
protocol_a_two_stage,CICIDS2017::rf::strict_tau,CICIDS2017,overall_reject_rate,5,0.00481575256842246,0.0010953330834399554,0.0036297410319379,0.0060601445550711,0.0034557169126735445,0.006175788224171375
protocol_a_two_stage,CICIDS2017::xgb::strict,CICIDS2017,system_macro_f1_declared_output_labels_historical,5,0.6177757102227651,0.006497752684267941,0.6121341458268201,0.6268781048036602,0.6097076846454778,0.6258437358000525
protocol_a_two_stage,CICIDS2017::xgb::strict,CICIDS2017,system_macro_f1_supported_labels,5,0.7060293831117315,0.007426003067734771,0.6995818809449373,0.7164321197756116,0.6968087824519745,0.7152499837714884
protocol_a_two_stage,CICIDS2017::xgb::strict,CICIDS2017,system_accuracy,5,0.960056984395921,0.004237017903707477,0.9568206768324798,0.9674973189412832,0.9547960318051426,0.9653179369866994
protocol_a_two_stage,CICIDS2017::xgb::strict,CICIDS2017,stage2_macro_f1_fixedK,5,0.8733091091152332,0.0048904178961540565,0.868340067611343,0.8804616275413114,0.8672368532774073,0.8793813649530591
protocol_a_two_stage,CICIDS2017::xgb::strict,CICIDS2017,stage2_macro_f1_present,5,0.8733091091152332,0.0048904178961540565,0.868340067611343,0.8804616275413114,0.8672368532774073,0.8793813649530591
protocol_a_two_stage,CICIDS2017::xgb::strict,CICIDS2017,stage1_roc_auc,5,0.9473023618808002,0.02086847769313338,0.9261027982507788,0.9797924377425292,0.921390724431918,0.9732139993296823
protocol_a_two_stage,CICIDS2017::xgb::strict,CICIDS2017,benign_family_fp_rate,5,0.00961707755748464,0.00018736528998393882,0.0094519630514171,0.0099152945735454,0.009384432822398574,0.009849722292570706
protocol_a_two_stage,CICIDS2017::xgb::strict,CICIDS2017,overall_reject_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
protocol_a_two_stage,CICIDS2017::xgb::strict_tau,CICIDS2017,system_macro_f1_declared_output_labels_historical,5,0.642901735710713,0.003956770414164429,0.6383329332933825,0.6483593788824649,0.6379887563382872,0.6478147150831387
protocol_a_two_stage,CICIDS2017::xgb::strict_tau,CICIDS2017,system_macro_f1_supported_labels,5,0.7347448408122434,0.004522023330473639,0.7295233523352944,0.7409821472942457,0.7291300072437569,0.74035967438073
protocol_a_two_stage,CICIDS2017::xgb::strict_tau,CICIDS2017,system_accuracy,5,0.9594160685843376,0.004191060558282604,0.9560845755043246,0.9667516990614708,0.9542121795748263,0.9646199575938489
protocol_a_two_stage,CICIDS2017::xgb::strict_tau,CICIDS2017,stage2_macro_f1_fixedK,5,0.8733091091152332,0.0048904178961540565,0.868340067611343,0.8804616275413114,0.8672368532774073,0.8793813649530591
protocol_a_two_stage,CICIDS2017::xgb::strict_tau,CICIDS2017,stage2_macro_f1_present,5,0.8733091091152332,0.0048904178961540565,0.868340067611343,0.8804616275413114,0.8672368532774073,0.8793813649530591
protocol_a_two_stage,CICIDS2017::xgb::strict_tau,CICIDS2017,stage1_roc_auc,5,0.9473023618808002,0.02086847769313338,0.9261027982507788,0.9797924377425292,0.921390724431918,0.9732139993296823
protocol_a_two_stage,CICIDS2017::xgb::strict_tau,CICIDS2017,benign_family_fp_rate,5,0.0037698337482256197,0.00020572585367149338,0.0035423800919081,0.0039888631950499,0.00351439136222199,0.004025276134229249
protocol_a_two_stage,CICIDS2017::xgb::strict_tau,CICIDS2017,overall_reject_rate,5,0.00575047434115754,0.0005341972355420387,0.0048354242418473,0.0062409970365575,0.005087180865845013,0.006413767816470067
protocol_a_two_stage,CICIoT2023::rf::strict,CICIoT2023,system_macro_f1_declared_output_labels_historical,5,0.7850040532488004,0.0005116688034295351,0.7842576901195278,0.7855571269226259,0.7843687325165779,0.7856393739810229
protocol_a_two_stage,CICIoT2023::rf::strict,CICIoT2023,system_macro_f1_supported_labels,5,0.8971474894272005,0.0005847643467765921,0.8962945029937461,0.8977795736258581,0.8964214085903748,0.8978735702640261
protocol_a_two_stage,CICIoT2023::rf::strict,CICIoT2023,system_accuracy,5,0.9721361984429006,0.00016423545436871457,0.9718578392255994,0.9722771342611242,0.9719322731919823,0.9723401236938188
protocol_a_two_stage,CICIoT2023::rf::strict,CICIoT2023,stage2_macro_f1_fixedK,5,0.9279430618407819,0.00030474061624054493,0.9275646424116056,0.9282395954910786,0.9275646763888056,0.9283214472927582
protocol_a_two_stage,CICIoT2023::rf::strict,CICIoT2023,stage2_macro_f1_present,5,0.9279430618407819,0.00030474061624054493,0.9275646424116056,0.9282395954910786,0.9275646763888056,0.9283214472927582
protocol_a_two_stage,CICIoT2023::rf::strict,CICIoT2023,stage1_roc_auc,5,0.9972971903689872,1.6344794761860047e-05,0.9972741753107852,0.997316738255735,0.9972768956257734,0.9973174851122011
protocol_a_two_stage,CICIoT2023::rf::strict,CICIoT2023,benign_family_fp_rate,5,0.01592377906589374,0.00035810770196988395,0.0154573922313278,0.0164123747973438,0.015479129624878253,0.01636842850690923
protocol_a_two_stage,CICIoT2023::rf::strict,CICIoT2023,overall_reject_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
protocol_a_two_stage,CICIoT2023::rf::strict_tau,CICIoT2023,system_macro_f1_declared_output_labels_historical,5,0.7841295822515011,0.0011068331653124076,0.7827911180283897,0.7854592684103034,0.7827552673581147,0.7855038971448874
protocol_a_two_stage,CICIoT2023::rf::strict_tau,CICIoT2023,system_macro_f1_supported_labels,5,0.8961480940017157,0.0012649521889284475,0.894618420603874,0.897667735326061,0.8945774484092742,0.8977187395941572
protocol_a_two_stage,CICIoT2023::rf::strict_tau,CICIoT2023,system_accuracy,5,0.969582011145345,0.0023126593296076367,0.9676901343829613,0.9721673711628191,0.9667104653156612,0.9724535569750289
protocol_a_two_stage,CICIoT2023::rf::strict_tau,CICIoT2023,stage2_macro_f1_fixedK,5,0.9279430618407819,0.00030474061624054493,0.9275646424116056,0.9282395954910786,0.9275646763888056,0.9283214472927582
protocol_a_two_stage,CICIoT2023::rf::strict_tau,CICIoT2023,stage2_macro_f1_present,5,0.9279430618407819,0.00030474061624054493,0.9275646424116056,0.9282395954910786,0.9275646763888056,0.9283214472927582
protocol_a_two_stage,CICIoT2023::rf::strict_tau,CICIoT2023,stage1_roc_auc,5,0.9972971903689872,1.6344794761860047e-05,0.9972741753107852,0.997316738255735,0.9972768956257734,0.9973174851122011
protocol_a_two_stage,CICIoT2023::rf::strict_tau,CICIoT2023,benign_family_fp_rate,5,0.01188175983298906,0.0037050271376325343,0.0091278566193617,0.0163901659004597,0.007281361023822791,0.01648215864215533
